Defunciones según causa de muerte. Avance enero-mayo 2020;;;;;;;;;;
Resultados detallados. Enero 2020-Mayo 2020;;;;;;;;;;
;;;;;;;;;;
Tasas de mortalidad por causas (lista reducida), sexo y tamaño de municipio;;;;;;;;;;
Unidades: defunciones por 100.000 habitantes;;;;;;;;;;
;;;;;;;;;;
 ;Total;Municipio menor o igual a 10.000 habitantes;Municipio de 10.001 a  20.000 habitantes;Municipio de 20.001 a  50.000 habitantes;Municipio de 50.001 a 100.000 habitantes;Municipio mayor de 100.000 habitantes;Capital;;;
    Mujeres;0,265;0,085;0,164;0,102;0,228;0,444;0,436;;;
021 Melanoma maligno de la piel;;;;;;;;;;
    Total;0,997;0,703;0,495;0,657;0,945;0,891;1,563;;;
    Hombres;1,192;0,682;0,623;0,832;1,256;1,107;1,915;;;
    Mujeres;0,810;0,725;0,369;0,486;0,645;0,687;1,245;;;
022 Otros tumores malignos de la piel y de los tejidos blandos;;;;;;;;;;
    Total;1,453;1,112;0,867;1,095;1,157;1,409;2,145;;;
    Hombres;1,682;1,240;0,997;1,352;1,256;1,405;2,618;;;
    Mujeres;1,232;0,981;0,739;0,843;1,062;1,414;1,718;;;
023 Tumor maligno de la mama;;;;;;;;;;
    Total;5,971;3,390;3,840;4,678;5,440;6,590;8,895;;;
    Hombres;0,116;0,083;0,083;0,052;0,157;0,170;0,152;;;
    Mujeres;11,598;6,801;7,552;9,226;10,543;12,682;16,795;;;
024 Tumor maligno del cuello del útero;;;;;;;;;;
    Total;0,590;0,210;0,330;0,399;0,598;0,725;0,961;;;
    Hombres;..;..;..;..;..;..;..;;;
    Mujeres;1,158;0,426;0,657;0,792;1,176;1,414;1,830;;;
025 Tumor maligno de otras partes del útero;;;;;;;;;;
    Total;1,343;0,819;1,032;0,992;1,273;1,347;1,969;;;
    Hombres;..;..;..;..;..;..;..;;;
    Mujeres;2,634;1,663;2,052;1,968;2,503;2,625;3,747;;;
026 Tumor maligno del ovario;;;;;;;;;;
    Total;1,682;0,819;0,991;1,353;1,485;1,824;2,629;;;
    Hombres;..;..;..;..;..;..;..;;;
    Mujeres;3,300;1,663;1,970;2,684;2,920;3,554;5,005;;;
027 Tumores malignos de otros órganos genitales femeninos;;;;;;;;;;
    Total;0,550;0,430;0,289;0,387;0,463;0,580;0,811;;;
    Hombres;..;..;..;..;..;..;..;;;
    Mujeres;1,079;0,874;0,575;0,767;0,910;1,131;1,544;;;
028 Tumor maligno de la próstata;;;;;;;;;;
    Total;5,376;5,205;4,046;4,613;4,668;4,642;6,763;;;
    Hombres;10,969;10,253;8,141;9,305;9,501;9,535;14,247;;;
    Mujeres;..;..;..;..;..;..;..;;;
029 Tumores malignos de otros órganos genitales masculinos;;;;;;;;;;
    Total;0,171;0,115;0,186;0,090;0,096;0,228;0,249;;;
    Hombres;0,348;0,227;0,374;0,182;0,196;0,468;0,524;;;
    Mujeres;..;..;..;..;..;..;..;;;
030 Tumor maligno del riñón, excepto pelvis renal;;;;;;;;;;
    Total;1,923;1,217;1,259;1,778;1,543;1,782;2,819;;;
    Hombres;2,564;1,612;1,454;2,261;2,198;2,213;3,968;;;
    Mujeres;1,307;0,810;1,067;1,303;0,910;1,373;1,780;;;
031 Tumor maligno de la vejiga;;;;;;;;;;
    Total;3,890;2,876;2,766;3,582;4,514;3,192;5,043;;;
    Hombres;6,405;4,754;4,611;6,004;7,224;5,534;8,309;;;
    Mujeres;1,472;0,938;0,944;1,201;1,896;0,969;2,092;;;
032 Otros tumores malignos de las vías urinarias;;;;;;;;;;
    Total;1,467;0,661;0,640;0,954;1,235;1,803;2,466;;;
    Hombres;2,314;0,930;0,955;1,637;2,041;3,107;3,886;;;
    Mujeres;0,653;0,384;0,328;0,281;0,455;0,565;1,183;;;
033 Tumor maligno del encéfalo;;;;;;;;;;
    Total;2,602;1,427;1,796;2,255;2,373;3,088;3,689;;;
    Hombres;3,041;1,509;2,035;2,365;2,905;3,874;4,533;;;
    Mujeres;2,179;1,343;1,560;2,147;1,858;2,343;2,926;;;
034 Otros tumores malignos neurológicos y endocrinos;;;;;;;;;;
    Total;0,647;0,294;0,599;0,438;0,656;0,663;0,981;;;
    Hombres;0,568;0,103;0,498;0,390;0,550;0,596;0,992;;;
    Mujeres;0,724;0,490;0,698;0,486;0,759;0,727;0,971;;;
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;;;;;;;;;;
    Total;4,124;2,057;2,539;3,686;4,688;4,663;5,775;;;
    Hombres;4,594;1,943;2,700;3,925;5,496;5,491;6,738;;;
    Mujeres;3,672;2,175;2,381;3,450;3,906;3,877;4,905;;;
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;;;;;;;;;;
    Total;4,514;2,130;2,271;3,518;3,974;5,513;7,083;;;
    Hombres;5,016;2,026;2,492;3,587;4,554;6,811;8,185;;;
    Mujeres;4,032;2,239;2,052;3,450;3,413;4,281;6,088;;;
037 Leucemia;;;;;;;;;;
    Total;2,950;1,259;1,342;2,036;2,527;3,274;5,016;;;
    Hombres;3,467;1,385;1,371;2,391;2,866;3,788;6,228;;;
    Mujeres;2,452;1,130;1,313;1,687;2,200;2,787;3,922;;;
038 Tumores in situ;;;;;;;;;;
    Total;0,013;..;0,021;0,026;..;0,021;0,013;;;
    Hombres;0,017;..;..;0,052;..;..;0,028;;;
    Mujeres;0,008;..;0,041;..;..;0,040;..;;;
039 Tumores benignos;;;;;;;;;;
    Total;0,552;0,420;0,372;0,322;0,637;0,580;0,772;;;
    Hombres;0,551;0,434;0,166;0,390;0,746;0,638;0,744;;;
    Mujeres;0,554;0,405;0,575;0,256;0,531;0,525;0,797;;;
040 Síndrome mielodisplásico;;;;;;;;;;
    Total;1,117;0,756;0,640;0,941;0,965;1,140;1,629;;;
    Hombres;1,342;0,806;0,498;1,092;1,099;1,490;2,149;;;
    Mujeres;0,901;0,704;0,780;0,792;0,834;0,808;1,158;;;
041 Otros tumores de comportamiento incierto o desconocido;;;;;;;;;;
    Total;2,216;1,385;1,301;1,843;2,083;2,280;3,237;;;
    Hombres;2,504;1,426;1,163;2,157;2,316;2,937;3,775;;;
    Mujeres;1,939;1,343;1,437;1,533;1,858;1,656;2,751;;;
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;;;;;;;;;;
    Total;1,975;1,616;1,425;1,598;1,987;1,658;2,662;;;
    Hombres;1,716;1,178;1,288;1,300;1,570;1,618;2,522;;;
    Mujeres;2,225;2,068;1,560;1,891;2,389;1,696;2,789;;;
042 Enfermedades de la sangre y de los órganos hematopoyéticos;;;;;;;;;;
    Total;1,773;1,553;1,301;1,443;1,833;1,347;2,341;;;
    Hombres;1,514;1,116;1,122;1,170;1,413;1,277;2,205;;;
    Mujeres;2,022;2,004;1,478;1,712;2,238;1,414;2,465;;;
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;;;;;;;;;;
    Total;0,202;0,063;0,124;0,155;0,154;0,311;0,320;;;
    Hombres;0,202;0,062;0,166;0,130;0,157;0,341;0,317;;;
    Mujeres;0,203;0,064;0,082;0,179;0,152;0,283;0,324;;;
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;;;;;;;;;;
    Total;14,495;16,509;13,213;13,840;13,522;12,911;14,807;;;
    Hombres;12,909;13,808;11,631;11,904;12,209;11,876;13,848;;;
    Mujeres;16,018;19,294;14,776;15,744;14,791;13,893;15,674;;;
044 Diabetes mellitus;;;;;;;;;;
    Total;10,773;13,706;10,735;10,361;9,877;9,202;9,967;;;
    Hombres;9,799;11,410;9,388;9,461;9,304;8,598;9,604;;;
    Mujeres;11,710;16,075;12,067;11,245;10,429;9,774;10,296;;;
045 Otras enfermedades endocrinas, nutricionales y metabólicas;;;;;;;;;;
    Total;3,721;2,802;2,477;3,479;3,646;3,710;4,840;;;
    Hombres;3,110;2,398;2,243;2,443;2,905;3,278;4,244;;;
    Mujeres;4,309;3,219;2,709;4,498;4,361;4,120;5,378;;;
046-049 V.Trastornos mentales y del comportamiento;;;;;;;;;;
    Total;20,457;19,227;17,734;17,551;20,100;19,274;24,055;;;
    Hombres;13,843;12,237;10,800;11,956;14,604;13,834;16,658;;;
    Mujeres;26,815;26,436;24,586;23,053;25,410;24,435;30,739;;;
046 Trastornos mentales orgánicos, senil y presenil;;;;;;;;;;
    Total;19,601;18,408;16,908;16,675;18,943;18,486;23,257;;;
    Hombres;12,819;11,038;9,969;11,150;13,152;13,025;15,653;;;
    Mujeres;26,120;26,010;23,765;22,107;24,538;23,667;30,129;;;
047 Trastornos mentales debidos al uso de alcohol;;;;;;;;;;
    Total;0,211;0,273;0,206;0,129;0,251;0,269;0,183;;;
    Hombres;0,374;0,496;0,374;0,156;0,510;0,426;0,344;;;
    Mujeres;0,054;0,043;0,041;0,102;..;0,121;0,037;;;
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);;;;;;;;;;
    Total;0,038;0,021;0,021;0,039;0,039;0,062;0,046;;;
    Hombres;0,069;0,041;0,042;0,052;0,079;0,128;0,083;;;
    Mujeres;0,008;..;..;0,026;..;..;0,012;;;
049 Otros trastornos mentales y del comportamiento;;;;;;;;;;
    Total;0,607;0,525;0,599;0,709;0,868;0,456;0,569;;;
    Hombres;0,581;0,661;0,415;0,598;0,864;0,255;0,579;;;
    Mujeres;0,633;0,384;0,780;0,818;0,872;0,646;0,560;;;
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;;;;;;;;;;
    Total;26,126;23,593;21,409;23,092;25,135;25,719;31,204;;;
    Hombres;20,162;16,185;15,452;17,804;19,354;20,943;25,656;;;
    Mujeres;31,859;31,233;27,295;28,292;30,720;30,251;36,217;;;
050 Meningitis (otras en 003);;;;;;;;;;
    Total;0,099;..;0,062;0,077;0,058;0,104;0,196;;;
    Hombres;0,116;..;0,042;0,052;0,039;0,085;0,289;;;
    Mujeres;0,083;..;0,082;0,102;0,076;0,121;0,112;;;
051 Enfermedad de Alzheimer;;;;;;;;;;
    Total;15,182;15,281;13,977;13,853;14,294;14,445;16,711;;;
    Hombres;8,879;8,103;8,266;8,109;8,558;8,556;10,224;;;
    Mujeres;21,241;22,684;19,620;19,500;19,835;20,032;22,572;;;
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;;;;;;;;;;
    Total;10,845;8,312;7,370;9,162;10,783;11,170;14,297;;;
    Hombres;11,167;8,082;7,145;9,643;10,757;12,302;15,143;;;
    Mujeres;10,536;8,549;7,593;8,690;10,809;10,097;13,533;;;
053-061 IX.Enfermedades del sistema circulatorio;;;;;;;;;;
    Total;112,164;97,361;88,134;96,210;107,543;105,777;140,683;;;
    Hombres;105,279;87,705;78,714;90,295;101,758;104,118;135,362;;;
    Mujeres;118,782;107,322;97,441;102,026;113,131;107,351;145,490;;;
053 Enfermedades cardíacas reumáticas crónicas;;;;;;;;;;
    Total;1,231;0,892;0,723;1,121;0,984;1,202;1,753;;;
    Hombres;0,714;0,496;0,457;0,572;0,471;0,638;1,130;;;
    Mujeres;1,728;1,300;0,985;1,661;1,479;1,737;2,316;;;
054 Enfermedades hipertensivas;;;;;;;;;;
    Total;13,565;16,624;13,729;12,822;11,844;10,238;13,617;;;
    Hombres;9,102;10,728;8,848;8,629;7,891;7,364;9,342;;;
    Mujeres;17,854;22,705;18,552;16,945;15,663;12,965;17,480;;;
055 Infarto agudo de miocardio;;;;;;;;;;
    Total;12,707;12,762;10,756;11,327;12,423;11,502;14,467;;;
    Hombres;15,796;16,309;13,168;13,646;16,410;13,494;17,995;;;
    Mujeres;9,738;9,103;8,373;9,047;8,571;9,612;11,280;;;
056 Otras enfermedades isquémicas del corazón;;;;;;;;;;
    Total;14,733;11,744;10,756;12,397;15,201;14,756;18,875;;;
    Hombres;18,089;13,560;13,417;15,335;18,608;19,325;23,534;;;
    Mujeres;11,507;9,871;8,127;9,507;11,909;10,420;14,666;;;
057 Insuficiencia cardíaca;;;;;;;;;;
    Total;18,538;15,732;14,968;16,031;18,924;16,932;23,068;;;
    Hombres;14,510;12,588;11,215;12,918;14,879;13,749;17,843;;;
    Mujeres;22,411;18,974;18,676;19,092;22,831;19,952;27,788;;;
058 Otras enfermedades del corazón;;;;;;;;;;
    Total;22,538;18,419;17,652;19,703;19,772;22,590;29,013;;;
    Hombres;20,145;16,598;15,244;17,284;17,548;21,624;26,083;;;
    Mujeres;24,838;20,296;20,030;22,082;21,921;23,506;31,660;;;
059 Enfermedades cerebrovasculares;;;;;;;;;;
    Total;23,860;17,841;16,289;19,085;24,460;23,460;32,355;;;
    Hombres;21,117;14,015;13,084;17,336;21,631;21,751;30,134;;;
    Mujeres;26,496;21,788;19,455;20,804;27,193;25,081;34,362;;;
060 Aterosclerosis;;;;;;;;;;
    Total;1,242;1,165;1,156;0,889;1,350;0,891;1,570;;;
    Hombres;1,028;0,827;0,955;0,910;1,178;0,979;1,213;;;
    Mujeres;1,447;1,514;1,354;0,869;1,517;0,808;1,892;;;
061 Otras enfermedades de los vasos sanguíneos;;;;;;;;;;
    Total;3,751;2,183;2,106;2,835;2,585;4,207;5,965;;;
    Hombres;4,779;2,584;2,326;3,665;3,141;5,193;8,088;;;
    Mujeres;2,762;1,770;1,888;2,019;2,048;3,271;4,046;;;
062-067 X.Enfermedades del sistema respiratorio;;;;;;;;;;
    Total;48,852;31,348;30,947;43,324;54,707;52,743;65,024;;;
    Hombres;54,072;33,796;33,064;48,579;60,183;60,487;73,248;;;
    Mujeres;43,834;28,824;28,855;38,158;49,417;45,396;57,593;;;
062 Influenza (gripe) (incluye gripe por virus de la influenza pandémica o zoonótica identificados);;;;;;;;;;
    Total;1,862;0,493;0,619;1,379;2,276;2,280;3,080;;;
    Hombres;1,893;0,413;0,748;1,326;2,081;2,597;3,266;;;
    Mujeres;1,832;0,576;0,493;1,431;2,465;1,979;2,913;;;
063 Neumonía;;;;;;;;;;
    Total;10,352;3,547;5,450;9,523;13,272;12,020;15,049;;;
    Hombres;11,073;3,390;5,815;9,799;14,369;13,877;16,548;;;
    Mujeres;9,659;3,710;5,090;9,252;12,212;10,259;13,695;;;
064 Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);;;;;;;;;;
    Total;12,897;11,859;9,786;11,856;12,500;12,621;15,278;;;
    Hombres;19,482;16,991;14,081;17,856;19,668;19,964;23,575;;;
    Mujeres;6,566;6,566;5,541;5,955;5,575;5,654;7,781;;;
065 Asma;;;;;;;;;;
    Total;1,128;1,049;0,908;1,147;1,080;1,513;1,131;;;
    Hombres;0,473;0,579;0,208;0,416;0,510;0,809;0,400;;;
    Mujeres;1,757;1,535;1,601;1,866;1,631;2,181;1,793;;;
066 Insuficiencia respiratoria;;;;;;;;;;
    Total;2,226;1,732;1,197;1,830;2,238;2,114;3,094;;;
    Hombres;2,086;1,592;1,163;1,741;1,924;1,618;3,114;;;
    Mujeres;2,361;1,876;1,231;1,917;2,541;2,585;3,075;;;
067 Otras enfermedades del sistema respiratorio;;;;;;;;;;
    Total;20,387;12,667;12,986;17,590;23,341;22,196;27,391;;;
    Hombres;19,065;10,831;11,049;17,440;21,631;21,624;26,345;;;
    Mujeres;21,658;14,561;14,899;17,737;24,993;22,738;28,336;;;
068-072 XI.Enfermedades del sistema digestivo;;;;;;;;;;
    Total;18,926;7,430;9,517;16,198;21,566;21,284;28,817;;;
    Hombres;19,925;7,979;9,678;17,310;23,359;22,731;30,561;;;
    Mujeres;17,966;6,865;9,358;15,105;19,835;19,911;27,240;;;
068 Úlcera de estómago, duodeno y yeyuno;;;;;;;;;;
    Total;0,420;0,105;0,227;0,374;0,463;0,580;0,634;;;
    Hombres;0,546;0,124;0,208;0,494;0,707;0,936;0,785;;;
    Mujeres;0,298;0,085;0,246;0,256;0,228;0,242;0,498;;;
069 Enteritis y colitis no infecciosas;;;;;;;;;;
    Total;0,261;0,189;0,124;0,168;0,193;0,228;0,432;;;
    Hombres;0,249;0,248;0,125;0,208;0,236;0,128;0,358;;;
    Mujeres;0,273;0,128;0,123;0,128;0,152;0,323;0,498;;;
070 Enfermedad vascular intestinal;;;;;;;;;;
    Total;2,302;0,472;1,135;2,010;2,527;2,487;3,826;;;
    Hombres;1,987;0,351;1,122;1,897;2,198;2,213;3,266;;;
    Mujeres;2,605;0,597;1,149;2,121;2,844;2,746;4,333;;;
071 Cirrosis y otras enfermedades crónicas del hígado;;;;;;;;;;
    Total;3,862;1,637;2,188;3,299;4,340;4,456;5,716;;;
    Hombres;5,764;2,604;3,115;4,705;6,242;6,896;8,777;;;
    Mujeres;2,034;0,640;1,272;1,917;2,503;2,141;2,951;;;
072 Otras enfermedades del sistema digestivo;;;;;;;;;;
    Total;12,081;5,027;5,843;10,348;14,043;13,533;18,208;;;
    Hombres;11,378;4,651;5,109;10,007;13,976;12,557;17,375;;;
    Mujeres;12,756;5,415;6,567;10,683;14,108;14,459;18,961;;;
073 XII.Enfermedades de la piel y del tejido subcutáneo;;;;;;;;;;
    Total;1,689;1,133;1,074;1,701;1,813;1,762;2,158;;;
    Hombres;1,196;0,765;0,582;1,118;1,413;1,362;1,598;;;
    Mujeres;2,163;1,514;1,560;2,275;2,200;2,141;2,664;;;
074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;;;;;;;;;;
    Total;4,752;3,526;2,746;4,381;4,263;4,704;6,521;;;
    Hombres;3,226;2,026;1,911;2,989;3,337;3,490;4,464;;;
    Mujeres;6,219;5,074;3,571;5,750;5,158;5,856;8,379;;;
074 Artritis reumatoide y osteoartrosis;;;;;;;;;;
    Total;0,550;0,493;0,310;0,258;0,463;0,249;0,935;;;
    Hombres;0,202;0,248;0,125;0,052;0,196;0,085;0,317;;;
    Mujeres;0,885;0,746;0,493;0,460;0,721;0,404;1,494;;;
075 Osteoporosis y fractura patológica;;;;;;;;;;
    Total;2,880;2,319;2,023;2,977;2,739;2,922;3,486;;;
    Hombres;1,901;1,364;1,371;1,949;2,002;1,703;2,439;;;
    Mujeres;3,821;3,304;2,668;3,987;3,451;4,079;4,432;;;
076 Otras enfermedades del sistema osteomuscular y del tejido conjuntivo;;;;;;;;;;
    Total;1,322;0,714;0,413;1,147;1,061;1,534;2,099;;;
    Hombres;1,123;0,413;0,415;0,988;1,138;1,703;1,709;;;
    Mujeres;1,513;1,023;0,410;1,303;0,986;1,373;2,453;;;
077-080 XIV.Enfermedades del sistema genitourinario;;;;;;;;;;
    Total;14,193;9,372;9,621;13,582;15,297;15,046;18,313;;;
    Hombres;12,733;7,689;8,266;12,242;14,172;13,110;17,210;;;
    Mujeres;15,597;11,107;10,959;14,900;16,384;16,882;19,310;;;
077 Enfermedades del riñón y del uréter;;;;;;;;;;
    Total;7,771;5,961;5,533;6,972;7,465;8,621;9,850;;;
    Hombres;7,356;4,713;5,275;6,654;7,106;7,960;10,072;;;
    Mujeres;8,171;7,249;5,787;7,284;7,813;9,249;9,649;;;
078 Enfermedades de los órganos genitales masculinos;;;;;;;;;;
    Total;0,358;0,294;0,206;0,399;0,559;0,497;0,314;;;
    Hombres;0,731;0,579;0,415;0,806;1,138;1,022;0,661;;;
    Mujeres;..;..;..;..;..;..;..;;;
079 Enfermedades de los órganos genitales femeninos y trastornos de la mama;;;;;;;;;;
    Total;0,124;0,084;0,041;0,103;0,154;0,145;0,170;;;
    Hombres;..;..;..;..;..;..;..;;;
    Mujeres;0,244;0,171;0,082;0,204;0,303;0,283;0,324;;;
080 Otras enfermedades del sistema genitourinario;;;;;;;;;;
    Total;5,939;3,033;3,840;6,108;7,118;5,782;7,979;;;
    Hombres;4,646;2,398;2,575;4,782;5,928;4,129;6,476;;;
    Mujeres;7,182;3,688;5,090;7,412;8,268;7,351;9,337;;;
081 XV.Embarazo, parto y puerperio;;;;;;;;;;
    Total;0,008;..;..;..;0,019;..;0,020;;;
    Hombres;..;..;..;..;..;..;..;;;
    Mujeres;0,017;..;..;..;0,038;..;0,037;;;
082 XVI.Afecciones originadas en el periodo perinatal;;;;;;;;;;
    Total;0,342;0,010;..;0,064;0,174;0,311;0,863;;;
    Hombres;0,387;..;..;0,078;0,118;0,383;1,033;;;
    Mujeres;0,298;0,021;..;0,051;0,228;0,242;0,710;;;
083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;;;;;;;;;;
    Total;0,753;0,325;0,495;0,580;0,617;0,705;1,249;;;
    Hombres;0,817;0,351;0,498;0,572;0,628;0,766;1,447;;;
